"ID","n_victimas","tipo_de_calle","calle","altura","cruce","dirección_normalizada","comuna","lon","lat","participantes","victima","acusado","fecha_hora","es_cruce"
"2016-0124",1,"AVENIDA","RIVADAVIA AV.","ESQ","RIVERA INDARTE AV.","RIVADAVIA AV. y RIVERA INDARTE AV.",7.0,-58.46271207,-34.62884871,"PEATON-PASAJEROS","PEATON","PASAJEROS","2016-09-16 15:24:00","Esquina"
"2016-0125",1,"AUTOPISTA","AUTOPISTA PERITO MORENO","ESQ","ALBERDI, JUAN BAUTISTA AV.","AUTOPISTA PERITO MORENO y ALBERDI, JUAN BAUTISTA AV.",10.0,-58.49020869,-34.64243791,"MOTO-MOTO","MOTO","MOTO","2016-09-17 12:14:00","Esquina"
"2016-0126",2,"CALLE","IRIGOYEN","ESQ","TINOGASTA","IRIGOYEN y TINOGASTA",10.0,-58.52572109,-34.62125906,"AUTO-CARGAS","AUTO","CARGAS","2016-09-18 22:45:00","Esquina"
"2016-0127",1,"AVENIDA","ACOSTA, MARIANO","ESQ","ROCA, CNEL. AV.","ACOSTA, MARIANO y ROCA, CNEL. AV.",8.0,-58.44094791,-34.66677111,"PEATON-PASAJEROS","PEATON","PASAJEROS","2016-09-24 10:25:00","Esquina"
"2016-0128",1,"AVENIDA","CASTRO","ESQ","PAVON AV.","CASTRO y PAVON AV.",5.0,-58.41914024,-34.6305389,"PEATON-PASAJEROS","PEATON","PASAJEROS","2016-10-02 11:30:00","Esquina"
"2016-0130",1,"AUTOPISTA","AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI","ESQ","NA","AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y BRASIL",1.0,-58.37910942,-34.62764717,"MOTO-CARGAS","MOTO","CARGAS","2016-10-04 12:30:00","Calle"
"2016-0131",1,"CALLE","MIRAVE","3500","NA","MIRAVE 3500",4.0,-58.39871183,-34.64539318,"PEATON-AUTO","PEATON","AUTO","2016-10-09 19:13:00","Calle"
"2016-0132",1,"AVENIDA","SAN JUAN AV.","ESQ","24 DE NOVIEMBRE","SAN JUAN AV. y 24 DE NOVIEMBRE",3.0,-58.41036975,-34.62477021,"AUTO-PASAJEROS","AUTO","PASAJEROS","2016-10-10 02:30:00","Esquina"
"2016-0133",1,"AVENIDA","LAS HERAS GENERAL AV.","ESQ","SANCHEZ DE BUSTAMANTE","LAS HERAS GENERAL AV. y SANCHEZ DE BUSTAMANTE",14.0,-58.40204698,-34.5834269,"MOTO-AUTO","MOTO","AUTO","2016-10-14 00:05:00","Esquina"
"2016-0134",1,"AVENIDA","PIEDRA BUENA AV.","ESQ","2 DE ABRIL DE 1982","PIEDRA BUENA AV. y 2 DE ABRIL DE 1982",8.0,-58.48935287,-34.67648597,"MOTO-OBJETO FIJO","MOTO","OBJETO FIJO","2016-10-23 05:00:00","Esquina"
