"ID","n_victimas","tipo_de_calle","calle","altura","cruce","dirección_normalizada","comuna","lon","lat","participantes","victima","acusado","fecha_hora","es_cruce"
"2017-0047",1,"AVENIDA","ARGENTINA AV.","ESQ","CORVALAN","ARGENTINA AV. y CORVALAN",8.0,-58.46713742,-34.6719879,"MOTO-AUTO","MOTO","AUTO","2017-04-23 06:30:00","Esquina"
"2017-0049",1,"AVENIDA","FERNANDEZ DE LA CRUZ, F., GRAL. AV.","ESQ","VARELA AV.","FERNANDEZ DE LA CRUZ, F., GRAL. AV. y VARELA AV.",8.0,-58.43850413,-34.65554754,"PEATON-PASAJEROS","PEATON","PASAJEROS","2017-04-27 18:16:00","Esquina"
"2017-0052",1,"GRAL PAZ","PAZ, GRAL. AV.","ESQ","GOLETA SANTA CRUZ","PAZ, GRAL. AV. y GOLETA SANTA CRUZ",8.0,-58.49413799,-34.68095739,"PEATON-CARGAS","PEATON","CARGAS","2017-05-05 03:40:00","Esquina"
"2017-0053",1,"CALLE","VIEYTES","ESQ","VILLARINO","VIEYTES y VILLARINO",4.0,-58.37547846,-34.65326075,"MOTO-CARGAS","MOTO","CARGAS","2017-05-05 20:16:22","Esquina"
"2017-0054",1,"AVENIDA","DE LOS CONSTITUYENTES AV.","ESQ","MORAN, PEDRO","DE LOS CONSTITUYENTES AV. y MORAN, PEDRO",15.0,-58.48680218,-34.58689719,"MOTO-AUTO","MOTO","AUTO","2017-05-07 21:00:00","Esquina"
"2017-0055",1,"AVENIDA","DE LOS CONSTITUYENTES AV.","4900","NA","DE LOS CONSTITUYENTES AV. 4900",12.0,-58.49563989,-34.57962262,"AUTO-AUTO","AUTO","AUTO","2017-05-09 08:30:00","Calle"
"2017-0058",1,"AVENIDA","CORDOBA AV.","ESQ","LIBERTAD","CORDOBA AV. y LIBERTAD",1.0,-58.38403232,-34.5991594,"PEATON-MOTO","PEATON","MOTO","2017-05-09 23:10:00","Esquina"
"2017-0059",1,"CALLE","BRASIL","ESQ","LIMA","BRASIL y LIMA",1.0,-58.38223382,-34.62693865,"PEATON-PASAJEROS","PEATON","PASAJEROS","2017-05-11 09:24:00","Esquina"
"2017-0060",1,"AVENIDA","ESCALADA AV.","ESQ","FERNANDEZ DE LA CRUZ, F., GRAL. AV.","ESCALADA AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8.0,-58.45966521,-34.67323292,"MOTO-OBJETO FIJO","MOTO","OBJETO FIJO","2017-05-13 07:20:00","Esquina"
"2017-0061",1,"AVENIDA","PARAGUAY","ESQ","CALLAO AV.","PARAGUAY y CALLAO AV.",2.0,-58.39303911,-34.59871111,"PEATON-MOTO","PEATON","MOTO","2017-05-15 13:29:30","Esquina"
"2017-0062",1,"AVENIDA","JUSTO, JUAN B. AV.","ESQ","SAN BLAS","JUSTO, JUAN B. AV. y SAN BLAS",10.0,-58.51262106,-34.63395999,"MOTO-CARGAS","MOTO","CARGAS","2017-05-15 16:00:00","Esquina"
"2017-0063",1,"AVENIDA","CHILE","ESQ","9 DE JULIO AV.","CHILE y 9 DE JULIO AV.",1.0,-58.38118367,-34.61646839,"PEATON-PASAJEROS","PEATON","PASAJEROS","2017-05-17 10:13:00","Esquina"
"2017-0064",1,"CALLE","MAIPU","ESQ","PERON, JUAN DOMINGO, TTE. GENERAL","MAIPU y PERON, JUAN DOMINGO, TTE. GENERAL",1.0,-58.37653284,-34.60582475,"CARGAS-AUTO","CARGAS","AUTO","2017-05-20 05:00:00","Esquina"
"2017-0065",1,"AVENIDA","SUAREZ AV.","ESQ","HERRERA","SUAREZ AV. y HERRERA",4.0,-58.37709334,-34.64035082,"BICICLETA-CARGAS","BICICLETA","CARGAS","2017-05-22 16:00:00","Esquina"
"2017-0066",1,"AVENIDA","SAN MARTIN AV.","ESQ","FRAGATA PRES. SARMIENTO","SAN MARTIN AV. y FRAGATA PRES. SARMIENTO",15.0,-58.46002142,-34.60409469,"PEATON-PASAJEROS","PEATON","PASAJEROS","2017-05-22 18:10:00","Esquina"
"2017-0067",1,"AVENIDA","DIRECTORIO AV.","ESQ","MORENO, JOSE MARIA AV.","DIRECTORIO AV. y MORENO, JOSE MARIA AV.",6.0,-58.4338197,-34.62801894,"MOTO-CARGAS","MOTO","CARGAS","2017-05-23 02:45:00","Esquina"
"2017-0068",1,"AVENIDA","RABANAL, FRANCISCO, INTENDENTE AV.","2950","NA","RABANAL, FRANCISCO, INTENDENTE AV. 2950",8.0,-58.43580656,-34.66437532,"MOTO-OBJETO FIJO","MOTO","OBJETO FIJO","2017-05-27 19:50:00","Calle"
"2017-0069",1,"GRAL PAZ","PAZ, GRAL. AV.","ESQ","SCHMIDL, ULRICO","PAZ, GRAL. AV. y SCHMIDL, ULRICO",9.0,-58.52173071,-34.65997463,"MOTO-SD","MOTO","SD","2017-05-24 14:15:00","Esquina"
"2017-0070",1,"CALLE","NUEVA YORK","3696","NA","NUEVA YORK 3696",11.0,-58.50791763,-34.59804273,"PEATON-AUTO","PEATON","AUTO","2017-05-30 13:20:00","Calle"
"2017-0072",1,"AVENIDA","DE LOS CONSTITUYENTES AV.","ESQ","VALLEJOS","DE LOS CONSTITUYENTES AV. y VALLEJOS",12.0,-58.49175088,-34.58226957,"AUTO-AUTO","AUTO","AUTO","2017-06-03 23:20:00","Esquina"
"2017-0073",1,"AVENIDA","CORRIENTES AV.","ESQ","ECUADOR","CORRIENTES AV. y ECUADOR",3.0,-58.40781467,-34.60425669,"MOTO-AUTO","MOTO","AUTO","2017-06-04 09:00:00","Esquina"
"2017-0074",1,"CALLE","CASCO","133","NA","CASCO 133",9.0,-58.52567073,-34.63787791,"SD-SD","SD","SD","2017-06-04 12:50:00","Calle"
"2017-0075",1,"AVENIDA","DE MAYO AV.","ESQ","9 DE JULIO AV.","DE MAYO AV. y 9 DE JULIO AV.",1.0,-58.381542,-34.60906385,"PEATON-MOTO","PEATON","MOTO","2017-06-12 22:38:00","Esquina"
"2017-0076",1,"AVENIDA","CASTILLO, RAMON S., PRES. AV.","ESQ","CALLE 12 (NO OFICIAL)","CASTILLO, RAMON S., PRES. AV. y CALLE 12 (NO OFICIAL)",2.0,-58.38526125,-34.5780581,"PEATON-CARGAS","PEATON","CARGAS","2017-06-13 14:50:00","Esquina"
"2017-0077",1,"CALLE","FRAY JUSTO SANTAMARIA DE ORO","1930","NA","FRAY JUSTO SANTAMARIA DE ORO 1930",14.0,-58.42934104,-34.58451712,"MOTO-CARGAS","MOTO","CARGAS","2017-06-17 23:45:00","Calle"
"2017-0079",1,"CALLE","MEXICO","ESQ","DEAN FUNES","MEXICO y DEAN FUNES",3.0,-58.40657493,-34.61781124,"MOTO-CARGAS","MOTO","CARGAS","2017-06-19 16:26:00","Esquina"
"2017-0080",1,"AVENIDA","ALBERDI, JUAN BAUTISTA AV.","ESQ","ESCALADA AV.","ALBERDI, JUAN BAUTISTA AV. y ESCALADA AV.",9.0,-58.49525314,-34.64487785,"PEATON-CARGAS","PEATON","CARGAS","2017-06-22 10:15:00","Esquina"
"2017-0082",1,"AVENIDA","ENTRE RIOS AV.","ESQ","BRASIL","ENTRE RIOS AV. y BRASIL",4.0,-58.39092851,-34.62932696,"PEATON-AUTO","PEATON","AUTO","2017-06-25 22:40:00","Esquina"
"2017-0083",1,"AVENIDA","ALBERDI, JUAN BAUTISTA AV.","ESQ","GUARDIA NACIONAL","ALBERDI, JUAN BAUTISTA AV. y GUARDIA NACIONAL",9.0,-58.49603546,-34.64564271,"MOTO-CARGAS","MOTO","CARGAS","2017-07-04 00:25:00","Esquina"
"2017-0084",1,"AVENIDA","DEL LIBERTADOR AV.","ESQ","RODRIGUEZ PE?A","DEL LIBERTADOR AV. y RODRIGUEZ PEÃ‘A",2.0,-58.38502878,-34.58703485,"PEATON-PASAJEROS","PEATON","PASAJEROS","2017-07-05 12:49:00","Esquina"
"2017-0085",1,"AVENIDA","TACUARI","ESQ","GARCIA, MARTIN AV.","TACUARI y GARCIA, MARTIN AV.",4.0,-58.37261143,-34.63150425,"PEATON-PASAJEROS","PEATON","PASAJEROS","2017-07-07 14:15:00","Esquina"
"2017-0086",1,"AVENIDA","RIVADAVIA AV.","ESQ","MURGUIONDO","RIVADAVIA AV. y MURGUIONDO",9.0,-58.51876802,-34.63905965,"PEATON-MOTO","PEATON","MOTO","2017-07-09 07:30:00","Esquina"
"2017-0087",1,"CALLE","24 DE NOVIEMBRE","390","NA","24 DE NOVIEMBRE 390",3.0,-58.41095567,-34.61516101,"PEATON-AUTO","PEATON","AUTO","2017-07-10 10:45:00","Calle"
"2017-0088",1,"AVENIDA","PASEO COLON AV.","ESQ","BRASIL AV.","PASEO COLON AV. y BRASIL AV.",1.0,-58.36797542,-34.62519403,"PEATON-PASAJEROS","PEATON","PASAJEROS","2017-07-10 22:30:00","Esquina"
"2017-0089",1,"CALLE","LEGUIZAMON, MARTINIANO","901","NA","LEGUIZAMON, MARTINIANO 901",9.0,-58.51514709,-34.64787051,"SD-AUTO","SD","AUTO","2017-07-13 12:05:00","Calle"
"2017-0090",1,"GRAL PAZ","CHIVILCOY AV.","ESQ","PAZ, GRAL. AV.","CHIVILCOY AV. y PAZ, GRAL. AV.",11.0,-58.51925642,-34.59171721,"PEATON-AUTO","PEATON","AUTO","2017-07-15 05:15:00","Esquina"
"2017-0091",1,"GRAL PAZ","SUPERI","ESQ","PAZ, GRAL. AV.","SUPERI y PAZ, GRAL. AV.",12.0,-58.48671535,-34.54321216,"MOTO-SD","MOTO","SD","2017-07-15 13:00:00","Esquina"
"2017-0092",1,"AUTOPISTA","AUTOPISTA 25 DE MAYO","ESQ","AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI","AUTOPISTA 25 DE MAYO y AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI",1.0,-58.38268809,-34.62282019,"PEATON-AUTO","PEATON","AUTO","2017-07-24 22:16:01","Esquina"
"2017-0093",1,"AUTOPISTA","LUGONES, LEOPOLDO AV.","ESQ","PUENTE DISTRIBUIDOR SCALABRINI ORTIZ","LUGONES, LEOPOLDO AV. y PUENTE DISTRIBUIDOR SCALABRINI ORTIZ",13.0,-58.43633522,-34.54966288,"PEATON-AUTO","PEATON","AUTO","2017-07-25 16:48:40","Esquina"
"2017-0094",1,"CALLE","HUGO, VICTOR","2639","NA","HUGO, VICTOR 2639",10.0,-58.52640838,-34.61765855,"BICICLETA-CARGAS","BICICLETA","CARGAS","2017-07-27 08:50:00","Calle"
"2017-0095",1,"AVENIDA","CORDOBA AV.","ESQ","SALGUERO, JERONIMO","CORDOBA AV. y SALGUERO, JERONIMO",14.0,-58.41894306,-34.59778875,"MOTO-AUTO","MOTO","AUTO","2017-08-06 08:00:00","Esquina"
"2017-0096",1,"AVENIDA","CABILDO AV.","ESQ","NU?EZ","CABILDO AV. y NUÃ‘EZ",13.0,-58.46756026,-34.54972741,"PEATON-PASAJEROS","PEATON","PASAJEROS","2017-08-07 19:50:00","Esquina"
"2017-0098",1,"CALLE","BONIFACIO, JOSE","2114","NA","BONIFACIO, JOSE 2114",7.0,-58.45715752,-34.63132912,"PEATON-AUTO","PEATON","AUTO","2017-08-08 12:10:00","Calle"
"2017-0099",1,"AVENIDA","FIGUEROA ALCORTA, PRES. AV.","5400","NA","FIGUEROA ALCORTA, PRES. AV. 5400",14.0,-58.42406784,-34.56213916,"BICICLETA-AUTO","BICICLETA","AUTO","2017-08-17 19:45:00","Calle"
"2017-0100",1,"CALLE","REPUBLICA BOLIVARIANA DE VENEZUELA","2135","NA","REPUBLICA BOLIVARIANA DE VENEZUELA 2135",3.0,-58.3967447,-34.61512051,"MOTO-OBJETO FIJO","MOTO","OBJETO FIJO","2017-08-21 07:45:00","Calle"
"2017-0101",1,"AVENIDA","LACROZE, FEDERICO AV.","ESQ","ZAPATA","LACROZE, FEDERICO AV. y ZAPATA",13.0,-58.44537508,-34.57084818,"MULTIPLE","PEATON","MULTIPLE","2017-08-23 10:00:00","Esquina"
"2017-0102",1,"AVENIDA","IRIARTE, GRAL. AV.","ESQ","ZAVALETA","IRIARTE, GRAL. AV. y ZAVALETA",4.0,-58.40056767,-34.6510708,"PEATON-CARGAS","PEATON","CARGAS","2017-08-24 01:10:00","Esquina"
"2017-0104",1,"AVENIDA","9 DE JULIO AV.","ESQ","ESTADOS UNIDOS","9 DE JULIO AV. y ESTADOS UNIDOS",1.0,-58.38109568,-34.61853244,"PEATON-CARGAS","PEATON","CARGAS","2017-08-25 09:00:00","Esquina"
"2017-0106",1,"CALLE","FRAY JUSTO SANTAMARIA DE ORO","ESQ","GUEMES","FRAY JUSTO SANTAMARIA DE ORO y GUEMES",14.0,-58.42533612,-34.58035258,"PEATON-PASAJEROS","PEATON","PASAJEROS","2017-08-31 19:50:00","Esquina"
"2017-0107",1,"AVENIDA","DEL LIBERTADOR AV.","ESQ","JARAMILLO","DEL LIBERTADOR AV. y JARAMILLO",13.0,-58.46062311,-34.54395182,"MOTO-CARGAS","MOTO","CARGAS","2017-09-01 11:30:00","Esquina"
"2017-0108",2,"GRAL PAZ","PAZ, GRAL. AV.","ESQ","MACHAIN","PAZ, GRAL. AV. y MACHAIN",12.0,-58.49491054,-34.54795581,"AUTO-OBJETO FIJO","OBJETO FIJO","AUTO","2017-09-02 04:53:08","Esquina"
"2017-0109",1,"AVENIDA","DIRECTORIO AV.","ESQ","PORTELA","DIRECTORIO AV. y PORTELA",7.0,-58.47130269,-34.63665402,"MOTO-AUTO","MOTO","AUTO","2017-09-04 21:00:00","Esquina"
"2017-0110",1,"AVENIDA","LAVALLE","ESQ","ALEM, LEANDRO N. AV.","LAVALLE y ALEM, LEANDRO N. AV.",1.0,-58.370488,-34.60189492,"PEATON-PASAJEROS","PEATON","PASAJEROS","2017-09-06 14:15:00","Esquina"
"2017-0111",1,"CALLE","USPALLATA","ESQ","PIROVANO","USPALLATA y PIROVANO",4.0,-58.42023854,-34.6423411,"PEATON-CARGAS","PEATON","CARGAS","2017-09-07 18:23:37","Esquina"
"2017-0112",2,"AUTOPISTA","AUTOPISTA 25 DE MAYO","ESQ","NA","AUTOPISTA 25 DE MAYO y VARELA AV.",7.0,-58.45807401,-34.6399743,"AUTO-OBJETO FIJO","AUTO","OBJETO FIJO","2017-09-10 09:32:17","Calle"
"2017-0113",1,"AVENIDA","SANTA FE AV.","ESQ","MAIPU","SANTA FE AV. y MAIPU",1.0,-58.37697717,-34.59573848,"PEATON-PASAJEROS","PEATON","PASAJEROS","2017-09-11 06:30:00","Esquina"
"2017-0114",1,"AVENIDA","ALVEAR AV.","ESQ","DEL LIBERTADOR AV.","ALVEAR AV. y DEL LIBERTADOR AV.",2.0,-58.3910058,-34.5849866,"AUTO-OBJETO FIJO","AUTO","OBJETO FIJO","2017-09-15 02:30:00","Esquina"
"2017-0115",1,"AVENIDA","PAVON AV.","ESQ","TREINTA Y TRES ORIENTALES","PAVON AV. y TREINTA Y TRES ORIENTALES",5.0,-58.42182126,-34.63089661,"MOTO-BICICLETA","MOTO","BICICLETA","2017-09-19 18:52:33","Esquina"
"2017-0116",1,"GRAL PAZ","PAZ, GRAL. AV.","5750","NA","PAZ, GRAL. AV. 5750",12.0,-58.51389422,-34.58075791,"MOTO-OBJETO FIJO","MOTO","OBJETO FIJO","2017-09-20 22:24:00","Calle"
"2017-0118",1,"AVENIDA","VIEYTES","ESQ","CRUZ, OSVALDO AV.","VIEYTES y CRUZ, OSVALDO AV.",4.0,-58.37585415,-34.65232158,"MOTO-AUTO","MOTO","AUTO","2017-09-22 07:02:09","Esquina"
"2017-0120",1,"AUTOPISTA","AUTOPISTA DELLEPIANE LUIS TTE. GRAL.","ESQ","ESCALADA AV.","AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y ESCALADA AV.",9.0,-58.47297505,-34.66245085,"MOTO-CARGAS","MOTO","CARGAS","2017-10-02 15:55:33","Esquina"
"2017-0123",1,"AVENIDA","ALBARI?O","ESQ","ARGENTINA AV.","ALBARIÃ‘O y ARGENTINA AV.",8.0,-58.46855503,-34.67216349,"PEATON-AUTO","PEATON","AUTO","2017-10-10 01:05:38","Esquina"
"2017-0124",1,"CALLE","RAMIREZ DE VELASCO, JUAN","1211","NA","RAMIREZ DE VELASCO, JUAN 1211",15.0,-58.44254033,-34.59185043,"MOTO-PASAJEROS","MOTO","PASAJEROS","2017-10-12 14:40:28","Calle"
"2017-0125",1,"AVENIDA","FERNANDEZ DE LA CRUZ, F., GRAL. AV.","ESQ","LARRAYA","FERNANDEZ DE LA CRUZ, F., GRAL. AV. y LARRAYA",8.0,-58.46622247,-34.67926929,"MOTO-OBJETO FIJO","MOTO","OBJETO FIJO","2017-10-13 06:12:20","Esquina"
"2017-0126",2,"AVENIDA","RIESTRA AV.","ESQ","CA?ADA DE GOMEZ","RIESTRA AV. y CAÃ‘ADA DE GOMEZ",8.0,-58.48003734,-34.68148508,"AUTO-OBJETO FIJO","AUTO","OBJETO FIJO","2017-10-14 06:15:00","Esquina"
"2017-0127",1,"AVENIDA","GALLO","ESQ","CORDOBA AV.","GALLO y CORDOBA AV.",2.0,-58.41192137,-34.59800248,"MOTO-MOTO","MOTO","MOTO","2017-10-16 07:45:00","Esquina"
"2017-0128",1,"CALLE","ARANGUREN, JUAN F., DR.","611","NA","ARANGUREN, JUAN F., DR. 611",6.0,-58.44034689,-34.61349731,"PEATON-PASAJEROS","PEATON","PASAJEROS","2017-10-17 12:30:00","Calle"
"2017-0129",1,"AUTOPISTA","AUTOPISTA PERITO MORENO","ESQ","AUTOPISTA 25 DE MAYO","AUTOPISTA PERITO MORENO y AUTOPISTA 25 DE MAYO",9.0,-58.47155277,-34.64925746,"MOTO-PASAJEROS","MOTO","PASAJEROS","2017-10-26 19:15:15","Esquina"
"2017-0130",1,"AVENIDA","CHORROARIN","ESQ","SAN MARTIN AV.","CHORROARIN y SAN MARTIN AV.",15.0,-58.47883099,-34.59967065,"AUTO-CARGAS","AUTO","CARGAS","2017-10-27 05:30:00","Esquina"
"2017-0132",1,"AVENIDA","COSQUIN","ESQ","ROCA, CNEL. AV.","COSQUIN y ROCA, CNEL. AV.",8.0,-58.46552171,-34.6937413,"MOTO-PASAJEROS","MOTO","PASAJEROS","2017-10-30 14:00:00","Esquina"
"2017-0134",1,"AVENIDA","ROCA, CNEL. AV.","3555","NA","ROCA, CNEL. AV. 3555",8.0,-58.4423972,-34.66777987,"PEATON-PASAJEROS","PEATON","PASAJEROS","2017-11-06 18:00:00","Calle"
"2017-0135",1,"AVENIDA","WARNES AV.","ESQ","PUNTA ARENAS","WARNES AV. y PUNTA ARENAS",15.0,-58.47032551,-34.59626814,"MOTO-CARGAS","MOTO","CARGAS","2017-11-07 12:14:10","Esquina"
"2017-0136",1,"AVENIDA","BARCO CENTENERA DEL","ESQ","RABANAL, FRANCISCO, INTENDENTE AV.","BARCO CENTENERA DEL y RABANAL, FRANCISCO, INTENDENTE AV.",4.0,-58.41827843,-34.65522746,"PEATON-PASAJEROS","PEATON","PASAJEROS","2017-11-16 08:43:00","Esquina"
"2017-0137",1,"AVENIDA","MOSCONI GENERAL AV.","ESQ","SAN NICOLAS","MOSCONI GENERAL AV. y SAN NICOLAS",11.0,-58.51280715,-34.59279388,"PEATON-CARGAS","PEATON","CARGAS","2017-11-17 11:45:00","Esquina"
"2017-0138",1,"AVENIDA","LAFUENTE AV.","ESQ","PERON, EVA AV.","LAFUENTE AV. y PERON, EVA AV.",7.0,-58.46258582,-34.64385704,"MOTO-OBJETO FIJO","MOTO","OBJETO FIJO","2017-11-19 10:30:00","Esquina"
"2017-0139",1,"AVENIDA","ROCA, CNEL. AV.","ESQ","ESCALADA AV.","ROCA, CNEL. AV. y ESCALADA AV.",8.0,-58.45064148,-34.68003614,"AUTO-OBJETO FIJO","AUTO","OBJETO FIJO","2017-11-19 22:30:00","Esquina"
"2017-0141",1,"AVENIDA","LA PLATA AV.","ESQ","GOYENA, PEDRO AV.","LA PLATA AV. y GOYENA, PEDRO AV.",6.0,-58.42717783,-34.62513374,"PEATON-PASAJEROS","PEATON","PASAJEROS","2017-11-23 19:45:00","Esquina"
"2017-0143",1,"CALLE","TRELLES, MANUEL R.","ESQ","DIAZ, CESAR, GRAL.","TRELLES, MANUEL R. y DIAZ, CESAR, GRAL.",11.0,-58.46442001,-34.60724519,"AUTO-PASAJEROS","AUTO","PASAJEROS","2017-11-25 21:45:00","Esquina"
"2017-0144",1,"GRAL PAZ","ROCA, CNEL. AV.","ESQ","PAZ, GRAL. AV.","ROCA, CNEL. AV. y PAZ, GRAL. AV.",8.0,-58.47064556,-34.69843756,"AUTO-OBJETO FIJO","AUTO","OBJETO FIJO","2017-11-26 06:45:00","Esquina"
"2017-0145",1,"CALLE","MAZA","ESQ","DON BOSCO","MAZA y DON BOSCO",5.0,-58.41677733,-34.61223119,"MOTO-AUTO","MOTO","AUTO","2017-11-26 17:05:00","Esquina"
"2017-0147",1,"GRAL PAZ","PAZ, GRAL. AV.","ESQ","PERON, EVA AV.","PAZ, GRAL. AV. y PERON, EVA AV.",9.0,-58.5025179,-34.67450313,"MOTO-AUTO","MOTO","AUTO","2017-11-28 11:15:00","Esquina"
"2017-0148",1,"AVENIDA","SAN JUAN AV.","ESQ","LA RIOJA","SAN JUAN AV. y LA RIOJA",3.0,-58.40708125,-34.62438894,"PEATON-PASAJEROS","PEATON","PASAJEROS","2017-11-29 10:45:00","Esquina"
"2017-0149",1,"AVENIDA","PASEO COLON AV.","ESQ","MEXICO","PASEO COLON AV. y MEXICO",1.0,-58.36947198,-34.61477051,"PEATON-PASAJEROS","PEATON","PASAJEROS","2017-11-30 12:20:00","Esquina"
"2017-0150",1,"AVENIDA","RIVADAVIA AV.","ESQ","MIRALLA","RIVADAVIA AV. y MIRALLA",9.0,-58.51140889,-34.63934531,"PEATON-AUTO","PEATON","AUTO","2017-12-04 01:15:00","Esquina"
"2017-0151",1,"CALLE","VIEYTES","ESQ","LUJAN","VIEYTES y LUJAN",4.0,-58.37460912,-34.65559133,"PEATON-PASAJEROS","PEATON","PASAJEROS","2017-12-04 02:15:00","Esquina"
"2017-0152",1,"CALLE","CACHI","ESQ","TRAFUL","CACHI y TRAFUL",4.0,-58.41146277,-34.65073916,"BICICLETA-PASAJEROS","BICICLETA","PASAJEROS","2017-12-06 17:30:00","Esquina"
"2017-0153",2,"AVENIDA","ROSARIO","ESQ","LA PLATA AV.","ROSARIO y LA PLATA AV.",6.0,-58.42855267,-34.61829385,"MOTO-PASAJEROS","MOTO","PASAJEROS","2017-12-11 02:00:00","Esquina"
"2017-0154",1,"AVENIDA","ENTRE RIOS AV.","ESQ","CASEROS AV.","ENTRE RIOS AV. y CASEROS AV.",4.0,-58.39035581,-34.63412287,"PEATON-PASAJEROS","PEATON","PASAJEROS","2017-12-11 09:15:00","Esquina"
"2017-0155",1,"AVENIDA","RIVADAVIA AV.","6350","NA","RIVADAVIA AV. 6350",7.0,-58.45593915,-34.62656868,"SD-MOTO","SD","MOTO","2017-12-12 21:25:41","Calle"
"2017-0157",1,"GRAL PAZ","PAZ, GRAL. AV.","ESQ","HUMAITA","PAZ, GRAL. AV. y HUMAITA",9.0,-58.52866211,-34.64597065,"AUTO-PASAJEROS","AUTO","PASAJEROS","2017-12-17 09:02:00","Esquina"
"2017-0158",1,"GRAL PAZ","GUALEGUAYCHU","ESQ","PAZ, GRAL. AV.","GUALEGUAYCHU y PAZ, GRAL. AV.",11.0,-58.52037476,-34.59407024,"MOTO-AUTO","MOTO","AUTO","2017-12-18 21:30:00","Esquina"
"2017-0159",1,"AVENIDA","INDEPENDENCIA AV.","ESQ","CEVALLOS, VIRREY","INDEPENDENCIA AV. y CEVALLOS, VIRREY",1.0,-58.38896772,-34.61799615,"MOTO-AUTO","MOTO","AUTO","2017-12-20 04:31:27","Esquina"
"2017-0160",1,"AVENIDA","NAZCA AV.","365","NA","NAZCA AV. 365",7.0,-58.47074114,-34.62771756,"PEATON-MOTO","PEATON","MOTO","2017-12-22 13:15:00","Calle"
"2017-0161",1,"AVENIDA","PERON, EVA AV.","5249","NA","PERON, EVA AV. 5249",9.0,-58.48200819,-34.65969965,"PEATON-AUTO","PEATON","AUTO","2017-12-26 15:30:00","Calle"
"2018-0001",1,"AVENIDA","SAN JUAN AV.","ESQ","RINCON","SAN JUAN AV. y RINCON",3.0,-58.39536773,-34.62297346,"PEATON-MOTO","PEATON","MOTO","2018-01-01 22:50:00","Esquina"
"2018-0002",1,"CALLE","PERU","937","NA","PERU 937",1.0,-58.37456088,-34.61895467,"BICICLETA-PASAJEROS","BICICLETA","PASAJEROS","2018-01-03 16:40:00","Calle"
"2018-0003",1,"AVENIDA","PUEYRREDON, HONORIO, DR. AV.","ESQ","GALICIA","PUEYRREDON, HONORIO, DR. AV. y GALICIA",15.0,-58.44860217,-34.60395657,"MULTIPLE","PEATON","MULTIPLE","2018-01-05 10:12:00","Esquina"
"2018-0004",1,"AVENIDA","DEL LIBERTADOR AV.","ESQ","MANZANARES","DEL LIBERTADOR AV. y MANZANARES",13.0,-58.46129513,-34.54332766,"MULTIPLE","MOTO","MULTIPLE","2018-01-09 09:40:00","Esquina"
"2018-0005",1,"AVENIDA","PASEO COLON AV.","1019","NA","PASEO COLON AV. 1019",1.0,-58.36907201,-34.61953517,"PEATON-PASAJEROS","PEATON","PASAJEROS","2018-01-09 22:30:00","Calle"
"2018-0006",1,"CALLE","VALLE","ESQ","BARCO CENTENERA DEL","VALLE y BARCO CENTENERA DEL",6.0,-58.44062219,-34.62499107,"BICICLETA-PASAJEROS","BICICLETA","PASAJEROS","2018-01-10 21:15:00","Esquina"
"2018-0007",1,"AUTOPISTA","AUTOPISTA PERITO MORENO","ESQ","NA","AUTOPISTA PERITO MORENO KM. 0.6",9.0,-58.52502765,-34.63601265,"AUTO-AUTO","AUTO","AUTO","2018-01-11 02:30:00","Calle"
"2018-0008",1,"AVENIDA","HUERGO, ING. AV.","ESQ","INDEPENDENCIA AV.","HUERGO, ING. AV. e INDEPENDENCIA AV.",1.0,-58.36659655,-34.61687778,"MOTO-CARGAS","MOTO","CARGAS","2018-01-12 17:50:00","Esquina"
"2018-0009",1,"AVENIDA","PILCOMAYO","ESQ","BROWN, ALTE. AV.","PILCOMAYO y BROWN, ALTE. AV.",4.0,-58.36737389,-34.62763661,"MOTO-MOTO","MOTO","MOTO","2018-01-14 02:00:00","Esquina"
"2018-0010",1,"CALLE","CERVANTES","ESQ","BELAUSTEGUI, LUIS, DR.","CERVANTES y BELAUSTEGUI, LUIS, DR.",10.0,-58.49807953,-34.63038658,"MOTO-CARGAS","MOTO","CARGAS","2018-01-18 05:10:00","Esquina"
"2018-0011",1,"AVENIDA","CALLAO AV.","ESQ","LOPEZ, VICENTE","CALLAO AV. y LOPEZ, VICENTE",2.0,-58.39092703,-34.59088447,"PEATON-PASAJEROS","PEATON","PASAJEROS","2018-01-19 10:30:00","Esquina"
"2018-0012",1,"CALLE","OLIDEN","ESQ","CHILAVERT, MARTINIANO, CORONEL","OLIDEN y CHILAVERT, MARTINIANO, CORONEL",8.0,-58.46912006,-34.68049201,"MOTO-PASAJEROS","MOTO","PASAJEROS","2018-01-26 13:30:00","Esquina"
"2018-0013",1,"AVENIDA","CONGRESO AV.","ESQ","GALVAN","CONGRESO AV. y GALVAN",12.0,-58.48661286,-34.56786129,"MOTO-AUTO","MOTO","AUTO","2018-01-28 08:15:00","Esquina"
"2018-0014",1,"AVENIDA","MORENO, PERITO AV.","ESQ","RIVERA INDARTE AV.","MORENO, PERITO AV. y RIVERA INDARTE AV.",7.0,-58.44074927,-34.65080597,"PEATON-MOTO","PEATON","MOTO","2018-01-31 20:00:00","Esquina"
